id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,2,0,0,2,40,7536
1,2,0,1,3,48,50816
2,2,0,0,2,30,2240
3,2,0,1,5,65,40808
4,0,0,0,2,19,5480
5,0,0,0,6,39,64672
6,0,0,1,2,38,38056
7,2,0,0,5,68,79472
8,2,0,1,5,65,33696
9,2,0,0,5,68,81072
10,0,0,0,6,68,63272
11,0,0,0,2,23,16360
12,2,0,0,2,40,7536
13,0,0,0,5,53,42808
14,0,0,0,2,32,35328
15,0,0,0,2,39,13280
16,0,0,1,4,50,43072
17,0,0,0,3,41,40456
18,0,1,0,11,76,95312
19,0,0,0,5,36,60328
20,0,0,0,2,28,9296
21,2,0,0,3,42,27456
22,0,0,0,5,28,42824
23,2,0,0,2,39,63984
24,0,0,0,2,23,4864
25,2,0,0,2,39,63984
26,0,0,0,5,48,42896
27,2,0,1,3,48,45696
28,0,0,0,2,34,14464
29,0,0,0,2,28,26512
30,0,1,0,16,106,79072
31,2,0,0,3,42,27776
32,0,0,0,2,42,19776
33,2,0,0,2,36,1600
34,0,0,0,4,47,32392
